Word,Level,POS,Meaning,Example_EN,Example_KR
Accommodate,B2,v.,"수용하다, 공간을 제공하다",The hotel can accommodate up to 300 guests.,그 호텔은 최대 300명의 손님을 수용할 수 있다.
Accommodate,C1,v.,"(요구 등에) 부응하다, 맞추다",We will do our best to accommodate your needs.,당신의 요구에 부응하기 위해 최선을 다하겠습니다.
Achieve,B1,v.,성취하다,He finally achieved his goal.,그는 마침내 목표를 달성했다.
Acknowledge,C1,v.,"인정하다, 인지하다",He acknowledged his mistake.,그는 자신의 실수를 인정했다.
Address,A2,n.,주소,Please write your name and address here.,여기에 성함과 주소를 적어 주세요.
Address,B2,v.,"해결하다, 다루다",The government must address the issue of unemployment.,정부는 실업 문제를 해결해야만 한다.
Aesthetic,C1,adj.,미적인,The building was designed for its aesthetic appeal.,그 건물은 미적인 매력을 위해 설계되었다.
Ambiguous,C1,adj.,모호한,The ending of the movie was very ambiguous.,그 영화의 결말은 매우 모호했다.
Analyze,B1,v.,분석하다,We need to analyze the data carefully.,우리는 데이터를 주의 깊게 분석해야 합니다.
Appropriate,B2,adj.,적절한,Is this dress appropriate for a wedding?,이 드레스가 결혼식에 적절한가요?
Arbitrary,C1,adj.,"임의적인, 독단적인",The choice of players was completely arbitrary.,선수 선발은 완전히 임의적이었다.
Artificial,B2,adj.,인공의,This flower is made of artificial silk.,이 꽃은 인공 실크로 만들어졌다.
Assertive,C1,adj.,"자심감 있는, 단호한",You need to be more assertive to get what you want.,원하는 것을 얻으려면 좀 더 단호해질 필요가 있다.
Attribute,B2,v.,"~의 탓으로 돌리다, ~의 결과로 보다",He attributes his success to hard work.,그는 자신의 성공을 노력 덕분으로 돌린다.
Attribute,C1,n.,"자질, 속성",Patience is an essential attribute for a teacher.,인내심은 교사에게 필수적인 자질이다.
Available,A2,adj.,이용 가능한,Is this seat available?,이 자리에 앉아도 될까요?
Believe,A1,v.,믿다,I believe you can do it.,나는 네가 할 수 있다고 믿어.
Benefit,A2,n.,"이익, 혜택",The new law will benefit many people.,새로운 법은 많은 사람들에게 혜택을 줄 것입니다.
Bright,A1,adj.,밝은,The sun is very bright today.,오늘 햇빛이 매우 밝다.
Choose,A1,v.,선택하다,Please choose the best one.,가장 좋은 것을 선택하세요.
Clear,A1,adj.,명확한,The instructions were very clear.,지시사항이 매우 명확했다.
Coherent,C1,adj.,일관성 있는,The speech was not very coherent.,그 연설은 별로 일관성이 없었다.
Collaborate,B1,v.,협력하다,Researchers from different countries collaborated on the study., 여러 국가의 연구원들이 그 연구에 협력했다.
Common,A2,adj.,"공통의, 흔한",They have many common interests.,그들은 공통의 관심사가 많다.
Comprehensive,C1,adj.,"포괄적인, 종합적인",The report provides a comprehensive analysis of the situation.,그 보고서는 상황에 대한 종합적인 분석을 제공한다.
Compromise,B2,v.,타협하다,We need to compromise to reach an agreement.,합의에 도달하기 위해 우리는 타협해야 한다.
Compromise,C1,v.,"(원칙 등을) 굽히다, 손상시키다",Never compromise your integrity for money.,돈 때문에 당신의 정직함을 저버리지 마세요.
Concrete,B2,adj.,구체적인,Do you have any concrete plans for the weekend?,주말에 무슨 구체적인 계획이라도 있나요?
Consequence,B2,n.,결과,You must accept the consequences of your actions.,당신은 당신의 행동에 따른 결과를 받아들여야 합니다.
Consider,B1,v.,고려하다,Please consider my suggestion.,내 제안을 고려해 주세요.
Conspicuous,C1,adj.,눈에 띄는,The bird is conspicuous because of its bright red feathers.,그 새는 밝은 빨간 깃털 때문에 눈에 잘 띈다.
Constraint,C1,n.,"제약, 제한",Financial constraints forced them to cancel the project.,재정적 제약 때문에 그들은 프로젝트를 취소해야 했다.
Contact,A2,v.,연락하다,Please contact me if you need help.,도움이 필요하면 연락주세요.
Contradict,B2,v.,"반박하다, 모순되다",The two reports contradict each other.,두 보고서는 서로 모순된다.
Contribute,B2,v.,기여하다,Everyone should contribute to the project.,모두가 그 프로젝트에 기여해야 합니다.
Conviction,C1,n.,"신념, 확신",She has a deep religious conviction.,그녀는 깊은 종교적 신념을 가지고 있다.
Conviction,C1,n.,유죄 판결,He has a prior conviction for speeding.,그는 과속 전과가 있다.
Correct,A1,adj.,맞는,Is this the correct address?,이것이 맞는 주소인가요?
Danger,A1,n.,위험,The sign warned us of danger.,표지판은 우리에게 위험을 경고했다.
Describe,A2,v.,묘사하다,Can you describe the man you saw?,당신이 본 그 남자를 묘사해 줄 수 있나요?
Determine,B1,v.,결정하다,Hard work determines your success.,노력이 당신의 성공을 결정한다.
Different,A1,adj.,다른,They have different opinions.,그들은 서로 다른 의견을 가지고 있다.
Diminish,B2,v.,"감소하다, 줄이다",The pain will gradually diminish over time.,통증은 시간이 지나면서 점차 줄어들 것이다.
Discuss,B1,v.,토론하다,We need to discuss the plan.,우리는 그 계획을 토론해야 한다.
Distinguish,B1,v.,구별하다,It is hard to distinguish between the 두 twins.,그 쌍둥이를 구별하는 것은 어렵다.
Drastic,B2,adj.,"급격한, 극단적인",The company needs to take drastic measures.,회사는 과감한 조치를 취해야 한다.
Efficient,B1,adj.,효율적인,We need a more efficient way of working., 우리는 더 효율적인 업무 방식이 필요합니다.
Eloquent,C1,adj.,"유창한, 웅변적인",He made an eloquent speech.,그는 유창한 연설을 했다.
Emphasize,B2,v.,강조하다,She emphasized the importance of safety.,그녀는 안전의 중요성을 강조했다.
Empirical,C1,adj.,"경험적인, 실증적인",We need more empirical evidence to prove this., 이것을 증명하려면 더 많은 실증적 증거가 필요하다.
Encounter,B1,v.,"직면하다, 만나다",We encountered many difficulties during the trip., 우리는 여행 중에 많은 어려움에 직면했다.
Encourage,B1,v.,격려하다,My teacher encouraged me to study hard.,선생님은 내가 열심히 공부하도록 격려해 주셨다.
Equivalent,B2,adj.,"상당하는, 동등한",The price is equivalent to two months' salary.,그 가격은 두 달치 월급과 맞먹는다.
Exaggerate,C1,v.,과장하다,Don't exaggerate the truth.,사실을 과장하지 마세요.
Execute,B2,v.,"실행하다, 수행하다",The task was executed perfectly.,그 과업은 완벽하게 수행되었다.
Execute,C1,v.,처형하다,He was executed for treason.,그는 반역죄로 처형되었다.
Explain,B1,v.,설명하다,Can you explain the rules to me?,규칙을 설명해 주시겠어요?
Exploit,B2,v.,"이용하다, 착취하다",The company was accused of exploiting child labor.,그 회사는 아동 노동을 착취했다는 비난을 받았다.
Exploit,C1,n.,"위업, 공적",The movie tells the story of his wartime exploits.,그 영화는 그의 전쟁 당시 공적에 대해 이야기한다.
Exquisite,C1,adj.,"정교한, 매우 아름다운",The jewelry is exquisite.,그 보석은 매우 정교하고 아름답다.
Facilitate,C1,v.,"촉진하다, 용이하게 하다",The new law will facilitate foreign investment.,새 법안은 외국인 투자를 촉진할 것이다.
Feasible,B2,adj.,실행 가능한,Is it feasible to finish the work by tomorrow?,내일까지 일을 끝내는 것이 가능합니까?
Frequent,A2,adj.,빈번한,He is a frequent visitor to this cafe.,그는 이 카페의 단골 방문객입니다.
Future,A1,n.,미래,What are your plans for the future?,미래 계획이 어떻게 되나요?
Grasp,B2,v.,꽉 잡다,She grasped my hand tightly.,그녀는 내 손을 꽉 잡았다.
Grasp,C1,v.,"이해하다, 파악하다",I couldn't grasp the main point of his speech.,나는 그가 한 연설의 핵심을 파악할 수 없었다.
Healthy,A2,adj.,건강한,Eating vegetables is very healthy.,채소를 먹는 것은 매우 건강에 좋다.
Hypothesis,C1,n.,가설,The results of the experiment support my hypothesis.,실험 결과는 내 가설을 뒷받침한다.
Implement,B2,v.,실행하다,The new policy will be implemented next month.,새로운 정책은 다음 달에 시행될 것이다.
Implicit,C1,adj.,"암시된, 내포된",There was an implicit agreement between the two companies.,두 회사 사이에는 암묵적인 합의가 있었다.
Imply,B2,v.,"암시하다, 내포하다",His silence implies agreement.,그의 침묵은 동의를 암시한다.
Improve,B1,v.,개선하다,You need to improve your English skills.,당신은 영어 실력을 향상시킬 필요가 있습니다.
Inevitable,C1,adj.,피할 수 없는,Changes are inevitable in this industry.,이 업계에서 변화는 피할 수 없습니다.
Inevitably,B2,adv.,필연적으로,High taxes inevitably lead to higher prices.,높은 세금은 필연적으로 물가 상승으로 이어진다.
Infrastructure,C1,n.,사회 기반 시설,The government is investing in the nation's infrastructure.,정부는 국가 기간 시설에 투자하고 있다.
Inherent,C1,adj.,"내재된, 타고난",There are inherent risks in any investment., 모든 투자에는 내재된 위험이 있다.
Innovative,B1,adj.,혁신적인,The company is known for its innovative products.,그 회사는 혁신적인 제품들로 유명하다.
Insight,B2,n.,통찰력,The book provides deep insight into human nature.,그 책은 인간 본성에 대한 깊은 통찰력을 제공한다.
Involve,B1,v.,"연루시키다, 포함하다",The project involves many people.,그 프로젝트에는 많은 사람이 참여한다.
Laugh,A1,v.,웃다,The baby started to laugh.,아기가 웃기 시작했다.
Legitimate,C1,adj.,"정당한, 타당한",It is a legitimate question to ask.,그것은 충분히 물어볼 수 있는 타당한 질문이다.
Maintain,B2,v.,유지하다,It is important to maintain a healthy diet.,건강한 식단을 유지하는 것이 중요합니다.
Manage,B1,v.,"관리하다, 해내다",How do you manage your time?,시간 관리를 어떻게 하시나요?
Manifest,C1,v.,나타나다,His dissatisfaction manifested itself in his behavior.,그의 불만은 그의 행동에서 드러났다.
Marginal,C1,adj.,"미미한, 주변부의",The difference between the two products is marginal.,두 제품의 차이는 미미하다.
Modern,A2,adj.,현대적인,I like modern art.,나는 현대 미술을 좋아한다.
Nurture,B2,v.,"육성하다, 양육하다",The teacher tried to nurture her students' creativity.,선생님은 학생들의 창의력을 길러주려 노력했다.
Objective,B2,n.,"목적, 목표",Our primary objective is to improve customer service.,우리의 주된 목적은 고객 서비스를 개선하는 것이다.
Objective,C1,adj.,객관적인,We need an objective opinion on this matter.,우리는 이 문제에 대해 객관적인 의견이 필요하다.
Obscure,C1,adj.,"무명의, 이해하기 힘든",He is an obscure poet from the 19th century.,그는 19세기의 무명 시인이다.
Observe,B1,v.,관찰하다,The scientist observed the ants.,과학자는 개미를 관찰했다.
Occur,B1,v.,발생하다,When did the accident occur?,사고가 언제 발생했나요?
Opponent,B2,n.,"상대, 적수",He defeated his opponent in the match.,그는 경기에서 상대를 이겼다.
Paradox,C1,n.,역설,"It is a paradox that the more choices we have, the less happy we are.",선택지가 많을수록 덜 행복해진다는 것은 역설이다.
Persistent,B2,adj.,"끈질긴, 지속적인",She won the race thanks to her persistent efforts.,그녀는 끈질긴 노력 덕분에 경주에서 우승했다.
Persuade,B2,v.,설득하다,I tried to persuade him to stay.,나는 그가 남도록 설득하려 노력했다.
